iter	Passed	Remaining
0	593	281832
1	1068	253126
2	1578	248883
3	2330	275003
4	3137	295522
5	3870	303162
6	4604	308493
7	5278	308779
8	5943	308424
9	6579	306603
10	7041	297663
11	7519	290758
12	7991	284629
13	8457	279102
14	9127	280516
15	9872	283844
16	10658	287792
17	11407	290256
18	12231	294204
19	13038	297273
20	13807	299153
21	14552	300317
22	15012	295673
23	15480	291554
24	15954	287825
25	16409	284003
26	16996	282652
27	17709	283356
28	18488	284976
29	19193	285340
30	19886	285463
31	20592	285717
32	21316	286159
33	22014	286185
34	22665	285587
35	23372	285668
36	23915	283751
37	24391	281140
38	24862	278584
39	25338	276190
40	25903	274833
41	26665	275538
42	27385	275765
43	28127	276161
44	28919	276988
45	29752	278118
46	30578	279107
47	31099	277301
48	31588	275267
49	32067	273216
50	32539	271158
51	33126	270104
52	33822	269938
53	34491	269544
54	35174	269242
55	35871	269035
56	36543	268627
57	37281	268686
58	37952	268239
59	38661	268052
60	39369	267839
61	39984	266992
62	40466	265281
63	40949	263611
64	41417	261885
65	41903	260308
66	42633	260254
67	43390	260341
68	44158	260470
69	44960	260768
70	45716	260779
71	46603	261497
72	47365	261486
73	48013	260829
74	48489	259256
75	48962	257698
76	49451	256250
77	49936	254803
78	50669	254629
79	51361	254240
80	52119	254163
81	52890	254131
82	53595	253772
83	54408	253904
84	55142	253654
85	55865	253342
86	56584	253004
87	57275	252531
88	57969	252070
89	58433	250613
90	58926	249306
91	59405	247952
92	59893	246657
93	60639	246429
94	61473	246540
95	62175	246109
96	62942	245928
97	63632	245439
98	64369	245124
99	65073	244676
100	65733	244059
101	66410	243503
102	67058	242843
103	67538	241578
104	68011	240306
105	68718	239868
106	69536	239803
107	70300	239542
108	71061	239260
109	71785	238849
110	72335	237861
111	72802	236608
112	73259	235337
113	73721	234096
114	74248	233077
115	74973	232675
116	75766	232481
117	76563	232284
118	77323	231970
119	78111	231729
120	78915	231530
121	79423	230458
122	79898	229303
123	80366	228136
124	80840	227000
125	81431	226199
126	82090	225585
127	82790	225086
128	83433	224429
129	84101	223839
130	84734	223156
131	85380	222505
132	86022	221848
133	86755	221420
134	87451	220896
135	88166	220415
136	88631	219314
137	89103	218239
138	89568	217156
139	90055	216132
140	90699	215491
141	91412	215011
142	92148	214584
143	92883	214148
144	93616	213704
145	94373	213309
146	95014	212651
147	95513	211678
148	95983	210649
149	96462	209644
150	96936	208638
151	97409	207636
152	97886	206650
153	98428	205805
154	99073	205177
155	99729	204572
156	100435	204070
157	101164	203610
158	101880	203119
159	102557	202551
160	103267	202045
161	103773	201140
162	104272	200229
163	104752	199284
164	105287	198450
165	106097	198134
166	106844	197693
167	107693	197438
168	108525	197144
169	109317	196772
170	109896	196014
171	110421	195163
172	110929	194287
173	111425	193393
174	111965	192580
175	112527	191808
176	113253	191314
177	113914	190710
178	114584	190120
179	115221	189475
180	115870	188850
181	116566	188299
182	117258	187740
183	117786	186922
184	118282	186054
185	118782	185198
186	119262	184314
187	119755	183455
188	120278	182645
189	120934	182038
190	121601	181447
191	122285	180880
192	123050	180432
193	123666	179762
194	124241	179034
195	124780	178257
196	125308	177467
197	125974	176872
198	126690	176348
199	127394	175803
200	128104	175266
201	128782	174685
202	129489	174140
203	130000	173334
204	130513	172532
205	131014	171717
206	131545	170945
207	132282	170441
208	133210	170177
209	133958	169680
210	134672	169137
211	135350	168550
212	135888	167786
213	136386	166977
214	136863	166145
215	137334	165310
216	137917	164611
217	138640	164079
218	139489	163692
219	140281	163237
220	141042	162741
221	141716	162143
222	141979	161080
223	142504	160317
224	143024	159552
225	143525	158766
226	144021	157979
227	144508	157184
228	145179	156591
229	145907	156058
230	146584	155468
231	147287	154906
232	147837	154182
233	148321	153392
234	148821	152621
235	149333	151864
236	149913	151178
237	150671	150671
238	151371	150104
239	152084	149549
240	152798	148993
241	153473	148400
242	154007	147669
243	154494	146896
244	155005	146147
245	155569	145451
246	156313	144922
247	157111	144441
248	157864	143916
249	158062	142888
250	158157	141775
251	158912	141255
252	159252	140368
253	159993	139836
254	160507	139106
255	161014	138371
256	161516	137634
257	161765	136685
258	162267	135953
259	162764	135219
260	163394	134597
261	164203	134120
262	164987	133620
263	165810	133151
264	166499	132571
265	167069	131896
266	167556	131158
267	168055	130430
268	168529	129686
269	169109	129024
270	169740	128401
271	170063	127547
272	170768	126982
273	171552	126472
274	172143	125820
275	172690	125138
276	173241	124458
277	173763	123759
278	174504	123216
279	175159	122611
280	175903	122068
281	176599	121490
282	177356	120953
283	177979	120324
284	178521	119640
285	179025	118932
286	179520	118220
287	179999	117499
288	180486	116785
289	181033	116111
290	181791	115572
291	182572	115045
292	183308	114489
293	183995	113901
294	184772	113368
295	185294	112679
296	185813	111988
297	186313	111288
298	186814	110589
299	187554	110032
300	188343	109501
301	189253	109040
302	190115	108547
303	190897	108007
304	191454	107339
305	191973	106652
306	192485	105960
307	192980	105261
308	193472	104562
309	193962	103863
310	194714	103305
311	195412	102716
312	196155	102151
313	196900	101585
314	197617	101004
315	198382	100446
316	199028	99828
317	199517	99131
318	200008	98436
319	200499	97743
320	200989	97050
321	201645	96439
322	202285	95819
323	202966	95218
324	203490	94545
325	204017	93873
326	204918	93372
327	205713	92821
328	206356	92201
329	206850	91515
330	207559	90925
331	208271	90334
332	209036	89766
333	209535	89084
334	210029	88400
